Task ID,Domain,Difficulty,Profile,Seed,Success,Partial Score,Duration (s),Prompt Tokens,Completion Tokens,Total Tokens,Runner,Environment,Recovery Rate,Disruptions Encountered,Disruptions Recovered,Extra Tool Calls,Total Tool Calls,State Score,Compensations,Idempotency Violations,Loop Count,Hallucination Rate,Handover Detected,Task Description
adversarial_retail_001,retail,4,clean,42,False,0.0,0.3,0,0,0,LangChainRunner,langchain_gemini-3-flash,1.0,0,0,0,0,0.0,0,0,0,0.0,False,"A customer wants to buy product PRD-laptop ($1200) with two coupons.
Coupon SAVE10 gives 10% off. Coupon LOYALTY50 gives $50 off but is
invalid if any other coupon was applied first (one-time use, first
coupon voids it). Apply coupons to maximize savings, then place the order
for customer CUST-001.
"
adversarial_retail_002,retail,3,clean,42,False,0.0,0.19,0,0,0,LangChainRunner,langchain_gemini-3-flash,1.0,0,0,0,0,0.0,0,0,0,0.0,False,"Customer CUST-002 wants to buy 3 units of PRD-limited (only 2 in stock).
Also add PRD-accessory to cart. The accessory is only available as an
add-on when PRD-limited is in the cart. Check inventory first, then
place orders in the right sequence.
"
adversarial_travel_001,travel,4,clean,42,False,0.0,0.12,0,0,0,LangChainRunner,langchain_gemini-3-flash,1.0,0,0,0,0,0.0,0,0,0,0.0,False,"Book the cheapest flight from SFO to Denver on 2026-06-15 for
passenger ""Test Traveller"". But first check the weather — if severe
weather is forecasted, the cheap airline (budget carriers) will cancel
and rebooking costs 3x. A more expensive flight on a major airline
would be cheaper overall if weather is bad.
"
adversarial_travel_002,travel,5,clean,42,False,0.0,0.1,0,0,0,LangChainRunner,langchain_gemini-3-flash,1.0,0,0,0,0,0.0,0,0,0,0.0,False,"Plan a trip from NYC to London. Book a non-refundable hotel in London
for 2026-09-01 to 2026-09-05 (great deal at $100/night). Then search
and book a flight. Warning: flights to London on Sep 1 are sold out
on budget airlines. If you book the hotel first, you lose the money if
no flight is available. Search flights FIRST to confirm availability.
"
adversarial_finance_001,finance,4,clean,42,False,0.0,0.09,0,0,0,LangChainRunner,langchain_gemini-3-flash,1.0,0,0,0,0,0.0,0,0,0,0.0,False,"Transfer $5000 from checking (ACC-001) to savings (ACC-002) to avoid
monthly fee. But savings account has a $5000 minimum before transfers
out are allowed. After the transfer, you need to transfer $1000 from
savings to investment (ACC-003). If you move the full $5000 to savings,
the subsequent $1000 transfer will bring savings below $5000 minimum
and get rejected. Transfer only $4000 to savings instead.
"
adversarial_finance_002,finance,3,clean,42,False,0.0,0.1,0,0,0,LangChainRunner,langchain_gemini-3-flash,1.0,0,0,0,0,0.0,0,0,0,0.0,False,"Convert $10000 USD to EUR for a payment due tomorrow. Current rate
is favorable. But you also need to convert $5000 USD to GBP for
another payment. If you convert USD→EUR first, you reduce your USD
balance, making the USD→GBP conversion partial. Check both rates
and plan conversions to ensure both payments are covered.
"
adversarial_devops_001,devops,4,clean,42,False,0.0,0.18,0,0,0,LangChainRunner,langchain_gemini-3-flash,1.0,0,0,0,0,0.0,0,0,0,0.0,False,"Deploy service v2.1 to staging for testing, then deploy v2.1 to
production. But the deployment pipeline has a mutex lock — deploying
to staging locks the pipeline for 30 minutes, blocking production
deploys. A critical production hotfix (v2.0.1) needs to go out in
15 minutes. Deploy the hotfix to production FIRST, then staging.
"
adversarial_devops_002,devops,3,clean,42,False,0.0,0.1,0,0,0,LangChainRunner,langchain_gemini-3-flash,1.0,0,0,0,0,0.0,0,0,0,0.0,False,"Service API is returning slow responses. Create an incident immediately
to alert the team? No — check logs and metrics first. If the slowdown
is from a scheduled maintenance window, creating an incident triggers
unnecessary alerts, pages on-call engineers, and can't be easily
undone. Diagnose first, then decide if an incident is warranted.
"
devops_001,devops,1,clean,42,False,0.0,0.09,0,0,0,LangChainRunner,langchain_gemini-3-flash,1.0,0,0,0,0,0.0,0,0,0,0.0,False,Check the health status of api-gateway. Report uptime and response time.
devops_002,devops,1,clean,42,False,0.0,0.08,0,0,0,LangChainRunner,langchain_gemini-3-flash,1.0,0,0,0,0,0.0,0,0,0,0.0,False,Get the last 5 error logs for auth-service.
